25,"10.1","Continuous improvement","Implement continuous improvement within the SMSI.","","- continuous improvement plan","Monitor the improvement of the relevance, adequacy and effectiveness of the information security management system.","Green: compliant\nRed: non-compliant","Continually improve the relevance, adequacy and effectiveness of the information security management system."
25,"7.x","Support","Raise awareness and communicate on the importance of information security and document the ISMS","","- Awareness actions carried out\n- Communication to stakeholders\n- ISMS documentation process.","Monitor awareness-raising actions carried out and communication to stakeholders. Check the quality of ISMS documentation.","Green: compliant\nRed: non-compliant","Raise awareness of the information security policy, communicate to stakeholders. Review the ISMS documentation."
29,"8.01","User terminals","Protect information from risks associated with the use of end-user devices.","#Preventive #Confidentiality #Integrity #Availability #Protect #Asset_management #Information_protection #Protection","- Security measures implemented\n- Inventory of user terminals\n- Evidence of application of protective measures","Control that any information stored on an end user terminal, processed by or accessible via this type of device and protected.","Green: presence of evidence\nOrange: minor non-conformity\nRed: absence of evidence","Protect any information stored or processed on an end-user terminal or accessible via this type of device."
29,"8.02","Access privileges","Ensure that only authorized users, software components, and services are granted privileged access rights.","#Preventive #Confidentiality #Integrity #Availability #Protect #Identity_and_access_management #Protection","- restrictions of privileged access rights\n- control of privileged access rights","Control the existence of privileged access rights restrictions and the allocation of privileged access rights","Green: compliant\nOrange: minor non-compliances\nRed: non-compliant","Restrict and control the allocation and use of privileged access rights"
29,"8.03","Restriction of access to information","Ensure authorized access only and prevent unauthorized access to information and other associated assets.","#Preventive #Confidentiality #Integrity #Availability #Protect #Identity_and_access_management #Protection","- restrictions on access to information\n- application of these restrictions","Control restrictions on access to information and the application of these restrictions in accordance with the policy on the subject of access control.","Green: compliant\nOrange: minor compliance\nRed: non-compliant","Review restrictions on access to information and their application"
29,"8.04","Access to source code","Prevent the introduction of unauthorized functionality, avoid unintentional or malicious modifications, and maintain the confidentiality of important intellectual property.","#Preventive #Confidentiality #Integrity #Availability #Protect #Identity_and_access_management #Application_security #Secure_configuration #Protection","- inventory of the source code of the programs\n- restriction of access to the source code","Check the effectiveness of restricting access to program source code.","Green: compliant\nOrange: anomalies\nRed: non-compliant","Restrict access to program source code."
29,"8.05","Secure authentication","Ensure that a user or entity is securely authenticated when granted access to systems, applications and services.","#Preventive #Confidentiality #Integrity #Availability #Protect #Identity_and_access_management #Protection","- secure connection procedures\n- application of the connection procedure","Control the application of secure connection procedures","Green: compliant\nOrange: anomalies\nRed: non-compliant","When required by access control policy, control access to systems and applications through a secure login procedure."
29,"8.06","Sizing","Ensure needs in terms of means of processing information, human resources, offices and other facilities.","#Preventive #Detective #Integrity #Availability #Identify #Protect #Detect #Continuity #Governance_and_Ecosystem #Protection","- monitored resources\n- evidence of resource monitoring and sizing\n- projection on future sizing","Control the inventory of monitored resources, evidence of monitoring and projections made","Green: compliant\nOrange: anomalies\nRed: non-compliant","Monitor and adjust resource usage and make projections on future sizing to ensure required system performance."
29,"8.07","Protection against malware","Ensure that information and other associated assets are protected against malicious programs.","#Preventive #Detective #Corrective #Privacy #Integrity #Availability #Protect #Detect #System_and_network_security #Information_protection #Protection #Defense","- operating procedure\n- availability of procedures to users","Control the existence and updating of operating procedures and the provision of procedures to the users concerned","Green: compliant\nOrange: anomalies\nRed: non-compliant","Document and make available to the users concerned the operating procedures."
29,"8.08","Management of technical vulnerabilities","Prevent the exploitation of technical vulnerabilities.","#Preventive #Confidentiality #Integrity #Availability #Identify #Protect #Management_of_menaces_and_vulnerabilities #Governance_and_Ecosystem #Protection #Defense","- technical vulnerabilities obtained\n- analysis evidence\n- appropriate measures taken","Check that the inventory is relevant, that there is proof of verification of the measures taken","Green: compliant\nOrange: anomaly\nRed: non-compliant","Obtain information on technical vulnerabilities in information systems, assess the organization's exposure to these vulnerabilities and take appropriate action."
29,"8.09","Configuration management","Ensure that hardware, software, services and networks operate properly with required security settings, and that the configuration is not altered by unauthorized or incorrect changes.","#Preventive #Confidentiality #Integrity #Availability #Protect #Secure_configuration #Protection","- Systems concerned\n- configuration documentation\n- checks carried out","Check that the inventory of the systems concerned is complete, the configuration documentation and that checks are carried out","Green: compliant\nOrange: anomaly\nRed: non-compliant","Check hardware, software, services, and networks to ensure that they are operating properly with required security settings, and that the configuration is not altered by unauthorized or incorrect changes."
29,"8.10","Deletion of information","Prevent unnecessary exposure of sensitive information and comply with legal, statutory, regulatory and contractual requirements relating to the deletion of information.","#Preventive #Confidentiality #Protect #Protection_of_information #Regulation_and_compliance #Protection","- Inventory of legal, statutory, regulatory and contractual requirements relating to the deletion of information\n- Information, devices and information affected\n- Evidence of secure deletion of information","Check inventory of requirements, relevant information and evidence of deletion","Green: compliant\nOrange: anomaly\nRed: non-compliant","Delete information stored in information systems and devices when it is no longer useful."
29,"8.11","Data masking","Limit the exposure of sensitive data, including personal data, and comply with legal, statutory, regulatory and contractual requirements.","#Preventive #Confidentiality #Protect #Information_Protection #Protection","- Data masking procedure\n- Data concerned\n- Evidence of application of masking","Check the existence and updating of the masking procedure, the relevance of the data concerned and the application of masking","Green: compliant\nOrange: anomaly\nRed: non-compliant","Use data masking in accordance with organizational access control policy and business requirements, while taking into account legal requirements."
29,"8.12","Data leak prevention","Detect and prevent unauthorized disclosure and extraction of information by people or systems.","#Preventive #Detective #Confidentiality #Protect #Detect #Information_Protection #Protection #Defense","- Data leak prevention procedure\n- Data concerned\n- Proof of application of measures","Check the existence and date of the procedure\n- Check the data concerned\n- Check the application of the measures","Green: compliant\nOrange: anomaly\nRed: non-compliant","Apply data leak prevention measures to systems, networks and terminals that process, store or transmit sensitive information."
29,"8.13","Backing up information","Enable recovery in the event of data or systems loss.","#Fix #Integrity #Availability #Restore #Continuity #Protection","- Backup policy\n- Backup copies\n- Backup copy tests","- Check the existence and updating of the backup policy\n- Existence of backup copies\n- Tests of backup copies","Green: compliant\nOrange: anomalies\nRed: non-compliant","Maintain backup copies of information, software and systems and test them regularly using the defined backup policy."
29,"8.14","Redundancy of information processing means","Ensure the continuous operation of information processing resources.","#Preventive #Availability #Protect #Continuity #Asset_management #Protection #Resilience","- Inventory of the information processing means concerned\n- requirement of availability\n- proof of redundancy","Check that the inventory is up to date, the availability requirements and the existence of evidence of redundancy","Green: compliant\nOrange: anomaly\nRed: non-compliant","Implement information processing resources with sufficient redundancy to meet availability requirements."
29,"8.15","Logging","Record events, generate evidence, ensure the integrity of logging information, prevent unauthorized access, identify information security events that may result in an information security incident, and assist in investigations.","#Detective #Privacy #Integrity #Availability #Detect #Information_security_event_handling #Protection #Defense","- log inventory\n- log protection measures\n- log storage\n- log analyzes","Check that the logs exist and are up to date, the log protection measures, the storage capacities and that the analysis carried out on these logs.","Green: compliant\nOrange: anomaly\nRed: non-compliant","Create, protect, store and analyze logs recording activities, exceptions, outages and other relevant events."
29,"8.16","Monitoring activities","Detect abnormal behavior and possible information security incidents.","#Detective #Correction #Privacy #Integrity #Availability #Detect #Respond #Information_Security_Event Management #Defense","Inventory of networks, systems and applications concerned\n- Detection measures implemented\n- Evaluation / Incidents detected","Control the inventory of networks, systems and applications concerned, the detection measures put in place and that assessments are carried out or incidents generated","Green: compliant\nOrange: anomaly\nRed: non-compliant","Monitor networks, systems and applications for abnormal behavior and take appropriate action to assess potential information security incidents."
29,"8.17","Clock Synchronization","Enable the correlation and analysis of security events and other recorded data, assist in the investigation of information security incidents.","#Detective #Integrity #Protect #Detect #Information_Security_Event_Management #Protection #Defense","inventory of clocks concerned\n- single time source\n- synchronization mechanism\n- effectiveness of synchronization","Control clock inventory, unique time source used, and clock synchronization on the source","Green: compliant\nOrange: anomaly\nRed: non-compliant","Synchronized to a single time reference source the clocks of all the relevant information processing systems of an organization or security domain."
29,"8.18","Using Privileged Utility Programs","Ensure that the use of utility programs does not undermine the information security measures of systems and applications.","#Preventive #Privacy #Integrity #Availability #Protect #System & Network Security #Secure_Configuration #Application_Security #Protection","- inventory of utility programs\n- controls implemented","Control the application of controls on the use of utility programs","Green: compliant\nOrange: anomalies\nRed: non-compliant","Take inventory of utility programs used to circumvent the security measures of a system or application, limit and closely control their use."
29,"8.19","Installing software on operating systems","Ensure the integrity of operational systems and prevent the exploitation of technical vulnerabilities.","#Preventive #Privacy #Integrity #Availability #Protect #Secure_configuration #Application_security #Protection","- installation control procedures\n- implementation of measures","Check the effectiveness of the installation control procedure","Green: compliant\nOrange: anomaly\nRed: non-compliant","Implement procedures are implemented to control the installation of software in operational systems."
29,"8.20","Network measures","Protect information in networks and supporting information processing means against compromise via the network.","#Preventive #Detective #Privacy #Integrity #Availability #Protect #Detect #System_and_network_security #Protection","- networks concerned\n- controls implemented\n- verification of controls","Check that controls are in place and that these controls are effective","Green: compliant\nOrange: anomaly\nRed: non-compliant","Manage and control networks to protect information contained in systems and applications."
29,"8.21","Network Services Security","Ensure security when using network services.","#Preventive #Confidentiality #Integrity #Availability #Protect #System_and_network_security #Protection","- Inventory of affected network services\n- Security mechanisms, service levels and identified management requirement","Check that the inventory of relevant network services is complete and up to date, that service level security mechanisms and requirements are identified and are integrated into service agreements","Green: compliant\nOrange: anomaly\nRed: non-compliant","For all network services, identify and integrate into network service agreements, security mechanisms, service levels and management requirements."
29,"8.22","Internet filtering","Divide the network into security perimeters and control traffic between them based on business needs.","#Preventive #Confidentiality #Integrity #Availability #Protect #System_and_network_security #Protection","- access measures put in place\n- blockages carried out","Control access rules to external websites and any blocks made.","Green: compliant\nOrange: anomaly\nRed: non-compliant","Manage access to external websites to reduce exposure to malicious content."
29,"8.23","Network partitioning","Protect systems from malware compromise and prevent access to unauthorized web resources.","#Preventive #Confidentiality #Integrity #Availability #Protect #System_and_network_security #Protection","- inventory of groups of information services, users and information systems\n- network partitioning measures","Control the inventory of groups of information services, users and information systems and the implementation of network partitioning measures","Green: compliant\nOrange: anomaly\nRed: non-compliant","Partitioning groups of information services, users and information systems on the networks."
29,"8.24","Use of cryptography","Ensure the correct and effective use of cryptography to protect the confidentiality, authenticity or integrity of information in accordance with business and information security requirements, and taking into account legal, statutory, regulatory and contractual requirements relating to cryptography.","#Preventive #Confidentiality #Integrity #Availability #Protect #Secure_configuration #Protection","Rules for the use of cryptography\n- Evidence of development and implementation of these rules\n- Cryptographic keys and algorithms used","Controls the rules for using cryptographic measures, their development and implementation as well as the cryptographic keys and algorithms used.","Green: compliant\nOrange: anomalies\nRed: non-compliant","Define and implement rules relating to the use of cryptography, including the management of cryptographic keys."
29,"8.25","Secure development lifecycle","Ensure information security is designed and implemented during the secure software and systems development lifecycle.","#Preventive #Privacy #Integrity #Availability #Protect #Application_Security #System_and_Network_Security #Protection","- development rules\n- developments carried out\n- proof of application of the rules","Control the existence of development rules, their updating and the application of development rules","Green: compliant\nOrange: anomaly\nRed: non-compliant","Establish and apply software and systems development rules to the organization's developments."
29,"8.26","Application security requirements","Ensure all information security requirements are identified and addressed during application development or acquisition.","#Preventive #Privacy #Integrity #Availability #Protect #Application_Security #System_and_Network_Security #Protection #Defense","- application services transmitted over public networks\n- protection measures","Control the inventory of network services and the effectiveness of measures against fraudulent activities, contractual mismatches, as well as unauthorized disclosure and modification.","Green: compliant\nOrange: anomaly\nRed: non-compliant","Protect against fraudulent activity, contractual disputes, and unauthorized disclosure and modification of information related to application services transmitted over public networks."
29,"8.27","Principles of secure system engineering and architecture","Ensure that information systems are designed, implemented and operated securely during the development life cycle.","#Preventive #Privacy #Integrity #Availability #Protect #Application_Security #System_and_Network_Security #Protection","- systems security engineering principles\n- information systems implementation work","Control that engineering principles are established and updated and that these principles are applied in the work of implementing information systems","Green: compliant\nOrange: anomaly\nRed: non-compliant","Establish and document systems security engineering principles, maintain them and apply them to all information systems implementation work."
29,"8.28","Secure coding","Ensure that software is developed securely to reduce the number of possible information security vulnerabilities in software.","#Preventive #Privacy #Integrity #Availability #Protect #Application_Security #System_and_Network_Security #Protection","- inventory of developments carried out\n- proof of application of coding rules","Control the inventory of developments carried out and the application of coding rules","Green: compliant\nOrange: anomaly\nRed: non-compliant","Apply secure coding principles to software development."
29,"8.29","Security testing in development and acceptance","Validate compliance with information security requirements when applications or codes are deployed in the environment.","#Preventive #Privacy #Integrity #Availability #Identify #Application_Security #Information_Security_Assurance #System_and_Network_Security #Protection","conformity test programs\n- new systems, updates and new versions\n- tests carried out","Check that tests are carried out on new systems, when updating to new versions","Green: compliant\nOrange: anomalies\nRed: non-compliant","Perform security functionality testing during development."
29,"8.30","Outsourced development","Ensure that information security measures required by the organization are implemented as part of outsourced systems development.","#Preventive #Detective #Privacy #Integrity #Availability #Identify #Protect #Detect #System_and_Network_Security #Application_Security #Supplier_Relationships_Security #Governance_and_Ecosystem #Protection","- outsourced developments\n- controls carried out","Check that controls are carried out on outsourced developments.","Green: compliant\nOrange: anomaly\nRed: non-compliant","Supervise and control the development activity of the outsourced system."
29,"8.31","Separation of development, test and production environments","Protect the operating environment and related data from compromises that may arise from development and testing activities.","#Preventive #Privacy #Integrity #Availability #Protect #Application_Security #System_and_Network_Security #Protection","- inventory of the applications concerned\n- development, test and operating environments\n- environment separation measures","Control the presence of environments for each application and the effectiveness of the separation of environments","Green: compliant\nOrange: anomaly\nRed: non-compliant","Separate development, test, and operating environments to reduce the risk of unauthorized access or changes to the operating environment."
29,"8.32","Change Management","Maintain information security when executing changes.","#Preventive #Privacy #Integrity #Availability #Protect #Application_Security #System_and_Network_Security #Protection","- change management procedure\n- changes made","Control the change management procedure, its updating and the changes made follow the procedure","Green: compliant\nOrange: anomaly\nRed: non-compliant","Control system changes within the development cycle through formal procedures."
29,"8.33","Test Information","Ensure the relevance of the tests and the protection of the operational information used for the tests.","#Preventive #Confidentiality #Integrity #Protect #Protection_of_information #Protection","- inventory of environments containing test data\n- protective measures applied (anonymization)","Control the application of protection measures to test data","Green: compliant\nOrange: anomaly\nRed: non-compliant","Carefully select, protect and control test data."
29,"8.34","Protection of information systems during audit and testing","Minimize the impact of audit and other assurance activities on operational systems and business processes.","#Preventive #Confidentiality #Integrity #Availability #Protect #System_and_network_security #Information_protection #Governance_and_Ecosystem #Protection","- audit requirements and activities involving checks on operating systems\n- forecasting and validation of activities\n- disruptions caused by these checks","Control the requirements, forecasting and validation of activities and the existence of disruptions caused by these checks","Green: compliant\nOrange: anomaly\nRed: non-compliant","Carefully plan and validate audit requirements and activities involving checks on live systems to minimize disruption to business processes."
25,"8.x","Functioning","Monitor the operation of the ISMS, assess and deal with risks.","","- ISMS process control\n- risk assessments\n- risk treatment plan","Check that the risk assessment and the risk treatment plan are up to date.","Green: compliant\nRed: non-compliant","Plan, implement and control the processes necessary to meet information security requirements; Carry out information security risk assessments; and Implement the information security risk treatment plan."
25,"9.2","Internal Audit","Collect information to determine whether the information security management system is compliant and effectively implemented and maintained.","","- Internal audit plan\n- Internal audits carried out\n- Action plan","Check the existence and consistency of the internal audit plan, the internal audits carried out and the monitoring of action plans","Green: compliant\nRed: non-compliant","Define an internal audit plan. Carry out internal audits Follow audit recommendations in an action plan"
25,"9.3","Management review","Ensure that the ISMS is always appropriate, suitable and effective.","","- Documentation of the management review","Control the documentation of the management review, its content and the conclusions of the review.","Green: compliant\nRed: non-compliant","Plan a management review in accordance with the expectations of the standard"
